243345.5,243347.7,243349.6,243351.5,243353.5,243355.5,243357.5,243359.5,243361.5,243363.5,243365.5,243367.7,243369.6,243371.5,243373.5,243375.5,243377.5,243378.9,243379.5,243381.6,243383.7,243385.6,243387.6,243389.7,243391.7,243393.6,243395.7,243397.7,243399.7,243401.7,243403.6,243405.6,243407.6,243409.7,243411.7,243413.6,243415.6,243417.6,243419.7,243421.6,243423.7,243425.7,243427.7,243429.6,243431.7,243433.7,243435.6,243437.6,243439.6,243441.6,243443.7,243445.6,243447.8,243449.8,243451.8,243453.7,243455.8,243457.8,243459.8,243461.7,243463.7,243465.8,243467.8,243469.8,243471.6,243473.7,243475.7,243477.7,243479.7,243481.8,243483.8,243485.6,243487.7,243489.8,243491.8,243493.7,243495.7,243497.8,243499.8,243501.6,243503.7,243505.7,243507.8,243509.8,243511.6,243513.6,243515.7,243517.7,243519.7,243521.7,243523.8,243525.6,243527.6,243529.6,243531.6,243533.6,243535.6,243537.6,243539.6,243541.7,243543.6,243545.6,243547.6,243549.6,243551.6,243553.6,243555.7,243557.7,243559.6,243561.6,243563.7,243565.6,243567.6,243569.6,243571.6,243573.6,243575.6,243577.6,243579.6,243581.6,243583.7,243585.6,243587.6,243589.6,243591.6,243593.8,243595.8,243597.8,243599.6,243601.8,243603.8,243605.8,243607.7,243609.7,243611.6,243613.8,243615.8,243617.7,243619.7,243621.7,243623.7,243625.7,243627.8,243629.8,243631.6,243633.7,243635.8,243637.8,243639.8,243641.7,243643.8,243645.8,243647.8,243649.7,243651.7,243653.8,243655.8,243657.8,243659.7,243661.7,243663.7,243665.7,243667.8,243669.9,243671.8,243673.5,243675.5,243677.6,243679.5,243681.5,243683.5,243685.7,243687.6,243689.5,243691.5,243693.5,243695.5,243697.5,243699.5,243701.5,243703.5,243705.7,243707.6,243709.5,243711.5,243713.5,243715.5,243717.5,243719.5,243721.5,243723.5,243725.5,243727.6,243729.5,243731.5,243733.5,243735.7,243737.6,243739.5,243741.5,243743.5,243745.7,243747.6,243749.5,243751.5,243753.5,243755.6,243757.6,243759.6,243761.8,243763.8,243765.8,243767.7,243769.8,243771.8,243773.8,243775.6,243777.7,243779.8,243781.8,243783.8,243785.7,243787.7,243789.8,243791.8,243793.8,243795.8,243797.6,243799.6,243801.8,243803.8,243805.8,243807.6,243809.8,243811.8,243813.8,243815.7,243817.7,243819.7,243821.8,243823.8,243825.6,243827.6,243829.7,243831.7,243833.7,243835.8,243837.8,243839.8,243841.6,243843.6,243845.8,243847.8,243849.8,243851.6,243853.8,243855.8,243857.8,243859.6,243861.7,243863.7,243865.8,243867.8,243869.6,243871.7,243873.7,243875.7,243877.7,243879.8,243881.8,243883.8,243885.6,243887.7,243889.8,243891.8,243893.8,243895.7,243897.8,243899.8,243901.8,243903.6,243905.6,243907.7,243909.8,243911.8,243913.8,243915.6,243917.7,243919.7,243921.8,243923.8,243925.8,243927.8
52,51,49,49,49,49,50,48,50,49,49,49,48,48,48,48,49,50,50,49,49,48,50,48,50,51,51,51,51,51,51,51,50,51,51,50,51,51,51,51,52,51,51,51,52,52,52,51,51,52,53,54,60,61,61,61,62,62,63,63,63,63,64,64,64,64,64,64,64,65,65,60,64,64,64,63,65,64,66,65,65,65,65,65,62,65,65,65,65,66,65,62,57,56,55,58,55,56,56,56,55,56,56,55,56,55,55,55,55,55,55,54,55,55,55,54,55,54,55,55,54,55,54,54,57,62,62,63,63,64,64,64,64,64,64,65,65,65,66,66,66,65,65,65,63,65,65,65,67,66,66,67,67,67,67,66,66,66,66,67,66,66,66,66,67,58,57,55,55,54,54,54,53,52,52,52,51,51,51,50,50,51,50,50,50,49,49,49,49,49,49,49,48,48,48,48,48,48,49,48,48,48,48,47,47,48,50,56,63,65,66,66,67,68,69,70,70,70,71,72,72,72,73,73,74,67,74,74,73,74,75,75,74,74,75,75,72,75,75,75,76,73,76,70,69,69,69,69,69,61,72,74,75,75,75,75,76,76,73,76,76,76,76,74,76,76,76,76,76,75,76,70,76,77,75,75,75,75,74,75,74,74,74,74,74,74,76,76,70,76,77,76,76
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.98214,20.98214,15.11831,15.11831,13.075942,17.336194,17.336194,15.022574,15.022574,14.807168,14.807168,14.009368,14.009368,13.985434,13.570578,13.570578,13.698226,13.698226,14.176906,14.176906,13.993412,13.770028,13.770028,13.9615,13.9615,14.232752,14.232752,14.089148,14.089148,13.985434,13.897676,13.897676,13.889698,13.889698,17.575534,17.575534,19.418452,19.30676,19.30676,20.000846,20.000846,19.290804,19.290804,20.216252,19.881176,19.881176,19.482276,19.482276,20.42368,20.42368,20.58324,20.58324,20.647064,20.639086,20.639086,17.39204,17.39204,19.601946,19.601946,19.370584,19.5461,19.5461,20.998096,20.998096,20.990118,20.990118,19.689704,19.689704,17.216524,20.758756,20.758756,20.726844,20.726844,19.649814,19.649814,18.11006,13.24348,13.24348,11.60799,11.60799,13.626424,13.626424,15.780484,15.780484,15.525188,15.963978,15.963978,15.381584,15.381584,15.692726,15.692726,15.692726,15.51721,15.51721,15.461364,15.461364,15.708682,15.708682,16.03578,16.03578,15.501254,15.413496,15.413496,15.612946,15.612946,15.589012,15.589012,15.581034,21.516666,21.516666,19.498232,19.498232,21.1417,21.1417,20.072648,20.072648,19.881176,20.718866,20.718866,21.125744,21.125744,21.995346,21.995346,22.17884,20.838536,20.838536,19.833308,19.833308,16.187362,16.187362,19.753528,22.370312,22.370312,20.950228,20.950228,21.085854,21.085854,21.1417,21.1417,20.10456,19.929044,19.929044,22.170862,22.170862,21.014052,21.014052,20.90236,19.78544,19.78544,19.78544,13.857786,11.823396,11.823396,11.951044,11.951044,11.592034,11.592034,11.743616,11.743616,11.743616,11.863286,11.863286,11.88722,11.88722,11.711704,11.52821,11.52821,11.60799,11.60799,11.64788,11.64788,11.424496,11.424496,13.227524,13.227524,11.544166,11.695748,11.695748,11.679792,11.456408,11.456408,11.456408,12.230274,11.456408,11.456408,11.464386,11.464386,11.68777,11.52821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"[1279.394, 1007.094, 817.093, 798.135]","[798.784, 798.946, 798.32, 798.265]","[1959.845, 1297.193, 1297.024, 1297.096]","[1692.796, 948.063, 798.267, 798.055]","[1406.031, 885.081, 798.301, 798.392]","[1236.793, 846.555, 798.137, 798.224]","[1792.809, 1039.702, 810.277, 798.361]","[1576.202, 1069.825, 898.043, 898.106]","[1446.026, 953.871, 898.037, 867.605]","[1315.637, 841.531, 798.285, 798.977]","[1283.047, 847.265, 798.261, 798.14]","[1275.331, 917.293, 898.003, 899.49]","[1543.982, 879.825, 798.201, 798.333]","[1352.588, 857.151, 798.213, 798.29]","[1599.936, 805.328, 798.241, 798.125]","[1160.112, 816.201, 798.028, 798.858]","[1394.194, 888.494, 798.121, 1859.455]","[1732.692, 962.262, 798.147, 798.172]","[1219.47, 939.457, 1023.365, 1105.655]","[980.179, 798.844, 797.244, 647.573]","[996.553, 798.588, 798.122, 798.196]","[964.934, 798.579, 798.231, 798.977]","[1158.658, 813.639, 798.184, 798.558]","[1461.552, 2093.972, 1714.433, 2095.07]","[1633.794, 993.603, 838.488, 798.168]","[1192.601, 950.292, 798.268, 798.181]","[1338.395, 907.535, 798.22, 798.208]","[1445.132, 859.824, 798.193, 798.175]","[1287.982, 915.086, 798.204, 798.117]","[1342.274, 998.115, 998.054, 997.843]","[1396.327, 1054.899, 833.791, 798.156]","[1274.126, 898.37, 897.945, 886.007]","[1320.682, 1089.744, 824.633, 798.12]","[1285.214, 1002.276, 798.181, 798.197]","[1384.91, 997.931, 997.74, 997.016]","[1479.271, 963.071, 798.178, 798.268]","[1321.16, 980.976, 798.171, 798.171]","[1378.562, 973.433, 798.234, 798.131]","[1911.537, 1217.165, 803.191, 798.148]","[1590.125, 880.346, 798.231, 798.194]","[1235.354, 847.552, 798.222, 798.266]","[1319.156, 892.087, 798.12, 1792.6]","[1500.635, 913.092, 798.156, 798.096]","[1333.202, 1189.935, 798.174, 798.218]","[1584.862, 977.435, 898.017, 881.003]","[1425.199, 998.173, 997.71, 997.944]","[1387.574, 881.842, 798.153, 798.342]","[1223.346, 1033.869, 798.291, 798.219]","[1398.166, 1995.743, 1995.402, 1391.348]","[1229.542, 893.192, 798.226, 798.168]","[1755.496, 2054.839, 2095.068, 2095.07]","[2095.072, 2096.387, 2095.226, 2095.114]","[2095.072, 2095.07, 2095.072, 2095.072]","[2095.071, 2095.072, 2095.071, 2095.071]","[2095.072, 2095.071, 2095.068, 2095.072]","[2095.071, 2095.07, 2095.071, 2095.071]","[2095.071, 2095.072, 2095.071, 2095.071]","[2095.071, 2095.072, 2095.071, 2095.072]","[2095.073, 2095.07, 2095.071, 2095.069]","[2095.068, 2095.057, 2095.073, 2095.071]","[2095.073, 2095.071, 2095.07, 2095.071]","[2095.071, 2095.071, 2095.072, 2095.071]","[2095.072, 2095.071, 2095.072, 2095.07]","[2095.071, 2095.071, 2095.071, 2095.072]","[2095.073, 2095.068, 2095.071, 2095.063]","[2095.064, 2095.054, 2095.071, 2095.07]","[2095.072, 2095.071, 2095.071, 2095.071]","[2095.072, 2095.071, 2095.073, 2095.071]","[2095.07, 2095.071, 2095.07, 2095.07]","[2095.071, 2095.072, 2095.071, 2095.071]","[2095.072, 2095.072, 2095.071, 2095.071]","[2095.443, 2096.156, 2095.072, 2097.139]","[2095.054, 2095.071, 2095.071, 2095.055]","[2095.072, 2095.072, 2095.072, 2095.072]","[2095.071, 2095.072, 2095.072, 2095.072]","[2095.068, 2095.062, 2095.071, 2095.073]","[2095.073, 2095.07, 2095.072, 2095.09]","[2095.071, 2095.071, 2095.072, 2095.071]","[2095.072, 2095.072, 2095.071, 2095.07]","[2095.073, 2095.061, 2095.049, 2095.042]","[2095.069, 2095.072, 2095.069, 2095.07]","[2095.072, 2095.069, 2095.072, 2095.072]","[2095.073, 2095.07, 2095.072, 2095.071]","[2095.071, 2095.071, 2095.071, 2095.072]","[2095.071, 2095.072, 2095.071, 2095.07]","[2095.073, 2095.069, 2095.071, 2095.071]","[2095.071, 2095.071, 2095.07, 2095.072]","[2095.07, 2095.07, 2095.071, 2095.071]","[2095.075, 2095.07, 2095.071, 2095.056]","[2095.071, 2095.071, 2095.071, 2095.071]","[2095.07, 2095.071, 2095.071, 2095.071]","[1884.879, 1536.744, 1189.181, 1093.697]","[1248.54, 1224.806, 1088.34, 1252.427]","[996.727, 798.546, 797.559, 798.425]","[943.698, 798.503, 798.135, 798.172]","[922.607, 798.548, 798.298, 798.389]","[959.323, 799.062, 798.145, 798.236]","[953.035, 935.377, 844.946, 798.182]","[1318.565, 933.134, 1889.46, 1068.546]","[1348.897, 923.342, 1109.799, 845.307]","[1938.02, 929.136, 1529.753, 988.331]","[1078.713, 827.199, 1418.498, 899.192]","[947.571, 830.181, 1859.242, 948.984]","[1186.776, 850.423, 897.998, 897.91]","[1019.014, 803.742, 798.167, 798.156]","[950.837, 801.896, 1160.118, 1003.663]","[994.867, 844.119, 1142.706, 817.324]","[988.883, 1003.95, 995.613, 798.158]","[1010.792, 801.955, 1117.023, 1028.915]","[1241.974, 1001.978, 900.609, 816.819]","[798.333, 882.815, 1007.85, 798.225]","[845.481, 862.786, 945.816, 798.182]","[1057.644, 839.959, 1159.985, 798.157]","[1222.937, 884.238, 1416.247, 849.035]","[1411.485, 932.164, 989.935, 798.157]","[1573.455, 1224.35, 1418.021, 802.117]","[1062.276, 798.2, 1210.827, 899.725]","[1109.732, 860.12, 1167.023, 882.309]","[1047.973, 806.618, 1283.885, 826.355]","[1044.441, 835.984, 960.033, 808.517]","[1159.731, 884.935, 2093.009, 1204.984]","[953.024, 800.778, 1300.864, 966.79]","[985.718, 798.752, 1290.41, 871.075]","[983.565, 1046.012, 980.587, 798.896]","[2095.243, 2096.783, 2095.071, 2095.026]","[2095.072, 2095.071, 2095.073, 2095.071]","[2095.072, 2095.071, 2095.072, 2095.072]","[2095.071, 2095.072, 2095.071, 2095.072]","[2095.062, 2095.072, 2095.072, 2095.072]","[2095.071, 2095.073, 2095.071, 2095.071]","[2095.073, 2095.072, 2095.072, 2095.071]","[2095.071, 2095.07, 2095.071, 2095.071]","[2095.073, 2095.059, 2095.072, 2095.073]","[2095.073, 2095.071, 2095.07, 2095.07]","[2095.816, 2095.071, 2095.071, 2095.071]","[2095.071, 2095.071, 2095.072, 2095.071]","[2095.072, 2095.071, 2095.071, 2095.072]","[2095.065, 2095.072, 2095.071, 2095.073]","[2095.061, 2095.06, 2095.049, 2095.07]","[2095.063, 2095.069, 2095.07, 2095.043]","[2095.063, 2095.072, 2095.072, 2095.064]","[2095.062, 2095.071, 2095.072, 2095.072]","[2095.071, 2095.072, 2095.071, 2095.072]","[2095.073, 2095.072, 2095.072, 2095.064]","[2095.731, 2095.072, 2095.643, 2095.067]","[2095.073, 2095.07, 2095.071, 2095.071]","[2095.071, 2095.063, 2095.072, 2095.071]","[2095.072, 2095.071, 2095.071, 2095.072]","[2095.077, 2095.073, 2095.525, 2091.103]","[2095.07, 2095.071, 2094.613, 2095.057]","[2095.058, 2095.072, 2095.071, 2095.073]","[2095.072, 2095.072, 2095.072, 2095.071]","[2095.71, 2095.072, 2095.224, 2095.072]","[2095.073, 2095.071, 2095.068, 2095.072]","[2095.073, 2095.071, 2095.072, 2095.07]","[2095.071, 2095.071, 2095.071, 2095.07]","[2095.073, 2095.072, 2095.06, 2095.072]","[2095.072, 2095.071, 2095.138, 2095.072]","[2095.072, 2095.073, 2095.072, 2095.071]","[2095.071, 2095.071, 2095.056, 2095.073]","[2095.071, 2095.07, 2095.072, 2095.071]","[2095.071, 2095.073, 2095.07, 2095.071]","[2095.071, 2095.071, 2095.064, 2095.073]","[2095.073, 2095.071, 2095.072, 2095.072]","[2095.071, 2095.071, 2095.072, 2095.072]","[991.385, 798.724, 798.339, 798.741]","[1104.533, 815.497, 797.425, 828.908]","[1156.578, 831.966, 798.218, 798.291]","[1061.015, 816.07, 798.112, 797.397]","[1277.26, 830.239, 798.199, 798.163]","[991.521, 798.476, 798.224, 798.524]","[1108.269, 860.86, 798.219, 798.379]","[1252.852, 997.852, 997.903, 997.608]","[1262.422, 845.635, 798.298, 798.276]","[882.145, 798.719, 798.563, 798.231]","[1056.238, 798.445, 798.31, 798.199]","[930.831, 799.578, 798.234, 798.163]","[1101.58, 798.585, 798.269, 798.176]","[1094.741, 798.517, 798.578, 798.09]","[1038.452, 798.649, 797.098, 798.178]","[1070.179, 813.007, 798.243, 798.246]","[1114.364, 816.683, 798.291, 798.976]","[1480.295, 936.471, 798.174, 798.241]","[1044.674, 798.465, 797.402, 798.23]","[991.523, 798.548, 798.284, 797.811]","[1232.316, 827.702, 798.293, 797.831]","[1177.596, 830.857, 798.377, 797.158]","[1017.502, 812.366, 798.257, 798.192]","[1122.831, 822.193, 798.175, 798.507]","[1010.618, 798.647, 798.353, 798.265]","[994.996, 799.53, 798.219, 798.249]","[900.402, 798.756, 874.132, 901.689]","[1104.828, 813.168, 798.919, 836.149]","[926.678, 798.603, 796.499, 798.272]","[963.852, 798.623, 798.539, 798.212]","[897.276, 798.523, 798.309, 798.252]","[1093.395, 809.385, 798.235, 798.247]","[1131.705, 821.824, 799.843, 798.832]","[953.584, 798.681, 797.552, 798.463]","[1004.667, 799.506, 798.301, 798.173]","[1034.235, 855.655, 798.856, 798.192]","[1016.587, 798.659, 798.241, 798.304]","[929.611, 799.317, 798.242, 798.264]","[997.915, 798.6, 798.29, 798.294]","[1017.655, 798.504, 798.247, 796.867]","[959.978, 798.56, 798.298, 798.122]","[1083.055, 1079.082, 798.363, 955.233]","[2685.719, 2495.849, 2548.89, 2493.981]","[2494.165, 2571.922, 2494.118, 2569.407]","[2494.134, 2494.134, 2494.128, 2494.132]","[2494.132, 2494.133, 2494.133, 2494.133]","[2494.133, 2494.131, 2494.133, 2494.132]","[2494.121, 2494.131, 2494.133, 2494.132]","[2494.132, 2494.134, 2494.133, 2494.133]","[2494.132, 2494.128, 2494.115, 2494.133]","[2494.307, 2653.129, 2691.112, 2494.69]","[2494.111, 2494.128, 2494.133, 2494.132]","[2494.135, 2494.132, 2494.132, 2494.133]","[2494.133, 2494.133, 2494.132, 2494.134]","[2494.133, 2494.133, 2494.132, 2494.131]","[2555.792, 2495.102, 2641.5, 2494.271]","[2494.133, 2494.131, 2494.136, 2494.131]","[2494.131, 2494.132, 2494.131, 2494.132]","[2494.105, 2494.132, 2494.135, 2494.13]","[2494.132, 2494.132, 2494.133, 2494.133]","[1895.541, 1895.541, 1895.536, 1895.541]","[2494.134, 2494.134, 2494.133, 2494.133]","[2691.814, 2495.675, 2633.196, 2489.783]","[2494.13, 2494.131, 2494.133, 2494.134]","[2494.132, 2494.132, 2494.133, 2494.132]","[2494.13, 2494.131, 2494.132, 2494.12]","[2494.134, 2494.132, 2494.114, 2494.132]","[2494.134, 2494.131, 2494.131, 2494.133]","[2494.133, 2494.133, 2494.133, 2494.133]","[2494.133, 2494.132, 2494.133, 2494.134]","[2494.134, 2494.133, 2494.12, 2494.131]","[2494.132, 2494.13, 2494.112, 2494.132]","[2494.134, 2494.134, 2494.128, 2494.13]","[2494.129, 2494.133, 2494.133, 2494.134]","[2494.133, 2494.132, 2494.134, 2494.133]","[2494.12, 2494.131, 2494.133, 2494.132]","[2495.547, 2691.4, 2494.135, 2494.133]","[2494.134, 2494.134, 2494.134, 2494.135]","[1895.543, 1895.541, 1895.525, 1895.543]","[1895.543, 1895.541, 1895.54, 1895.541]","[1895.54, 1895.54, 1895.54, 1895.54]","[1895.541, 1895.541, 1895.541, 1895.541]","[1895.539, 1895.541, 1895.54, 1895.541]","[1895.542, 1895.54, 1895.541, 1895.542]","[2590.686, 2494.317, 2690.691, 2494.345]","[2494.131, 2494.134, 2494.132, 2494.133]","[2494.133, 2494.133, 2494.133, 2494.132]","[2494.133, 2494.121, 2494.133, 2494.132]","[2494.132, 2494.134, 2494.132, 2494.133]","[2494.137, 2494.134, 2494.132, 2494.127]","[2494.133, 2494.132, 2494.132, 2494.132]","[2494.132, 2494.133, 2494.133, 2494.135]","[2494.132, 2494.133, 2494.134, 2494.133]","[2494.132, 2494.133, 2494.132, 2494.132]","[2494.133, 2494.132, 2494.13, 2494.133]","[2494.133, 2494.132, 2494.133, 2494.132]","[2494.133, 2494.133, 2494.133, 2494.124]","[2494.133, 2494.133, 2494.133, 2494.132]","[2529.369, 2495.12, 2383.814, 2494.133]","[2494.135, 2494.133, 2494.114, 2494.131]","[2494.11, 2494.132, 2494.131, 2494.136]","[2494.133, 2494.13, 2494.132, 2494.133]","[2494.133, 2494.133, 2494.136, 2494.132]","[2494.132, 2494.132, 2494.133, 2494.133]","[2494.133, 2494.133, 2494.133, 2494.134]","[2494.132, 2494.134, 2494.133, 2494.134]","[2560.489, 2495.352, 2692.17, 2494.32]","[2494.145, 2494.595, 2494.132, 2494.368]","[2494.132, 2494.134, 2494.133, 2494.133]","[2494.133, 2494.133, 2494.133, 2494.133]","[2494.133, 2494.132, 2494.128, 2494.133]","[2494.133, 2494.133, 2494.133, 2494.135]","[2494.133, 2494.133, 2494.133, 2494.123]","[2494.134, 2494.133, 2494.134, 2494.133]","[2494.132, 2494.133, 2494.11, 2494.133]","[2494.135, 2494.132, 2494.132, 2494.129]","[2494.132, 2494.134, 2494.133, 2494.133]","[2497.409, 2495.874, 2555.72, 2494.133]","[2494.133, 2494.133, 2494.114, 2494.134]","[2494.133, 2494.133, 2494.133, 2494.132]","[2494.134, 2494.133, 2494.123, 2494.131]","[2494.114, 2494.132, 2494.13, 2494.13]","[2494.133, 2494.131, 2494.128, 2494.13]","[1696.01, 1696.011, 1696.011, 1696.01]","[2494.133, 2494.133, 2494.121, 2494.133]","[2494.133, 2494.132, 2494.133, 2494.132]","[2494.132, 2494.134, 2494.132, 2494.132]","[2494.132, 2494.133, 2494.133, 2494.114]"
